,school.id,school.classification,school.province,teacher.student,rooms.student,mooe.student,teacher.mooe,rooms.mooe
305,102062,Elementary,Pangasinan,23.875,31.833333333333336,722.5130890052357,17250.0,23000.0
306,102120,Elementary,Pangasinan,33.333333333333336,33.333333333333336,565.0,18833.333333333332,18833.333333333332
307,101022,Elementary,La Union,44.25,29.5,728.8135593220339,32250.0,21500.0
308,100975,Elementary,La Union,50.0,41.666666666666664,588.0,29400.0,24500.0
311,100593,Elementary,Ilocos Sur,32.42857142857143,32.42857142857143,682.8193832599119,22142.857142857145,22142.857142857145
312,100235,Elementary,Ilocos Norte,27.5,27.5,1290.909090909091,35500.0,35500.0
313,100060,Elementary,Ilocos Norte,28.25,18.833333333333332,1053.0973451327434,29750.0,19833.333333333332
314,100497,Elementary,Ilocos Sur,16.857142857142858,19.666666666666664,1169.4915254237287,19714.285714285714,23000.0
315,100276,Elementary,Ilocos Norte,35.5,28.4,605.6338028169014,21500.0,17200.0
316,100118,Elementary,Ilocos Norte,33.44444444444444,33.44444444444444,598.0066445182724,20000.0,20000.0
317,101809,Elementary,Pangasinan,32.76923076923077,35.5,561.0328638497652,18384.615384615383,19916.666666666668
319,100640,Elementary,Ilocos Sur,22.5,22.5,1466.6666666666667,33000.0,33000.0
320,100745,Elementary,Ilocos Sur,28.142857142857142,21.88888888888889,873.0964467005076,24571.428571428572,19111.111111111113
321,100976,Elementary,La Union,38.4,32.0,708.3333333333334,27200.000000000004,22666.666666666664
322,102206,Elementary,Ilocos Norte,33.833333333333336,33.833333333333336,694.5812807881773,23500.0,23500.0
323,101793,Elementary,Pangasinan,44.69230769230769,48.416666666666664,473.32185886402755,21153.846153846152,22916.666666666668
324,101514,Elementary,Pangasinan,56.666666666666664,28.333333333333332,676.4705882352941,38333.33333333333,19166.666666666664
325,100119,Elementary,Ilocos Norte,31.818181818181817,29.166666666666664,620.0,19727.272727272728,18083.333333333332
326,100842,Elementary,La Union,42.0,37.800000000000004,537.0370370370371,22555.55555555556,20300.0
327,102131,Elementary,Pangasinan,33.25,33.25,631.578947368421,21000.0,21000.0
328,100950,Elementary,La Union,25.6,28.444444444444443,738.28125,18900.0,21000.0
329,101136,Elementary,Pangasinan,43.57142857142858,43.57142857142858,577.0491803278688,25142.85714285714,25142.85714285714
330,100048,Elementary,Ilocos Norte,29.571428571428573,25.875,739.1304347826087,21857.14285714286,19125.0
331,100820,Elementary,La Union,57.66666666666667,24.714285714285715,699.4219653179191,40333.333333333336,17285.714285714286
332,101286,Elementary,Pangasinan,58.49999999999999,50.142857142857146,498.57549857549856,29166.666666666668,24999.999999999996
333,101105,Elementary,La Union,30.333333333333332,22.75,945.054945054945,28666.666666666668,21500.0
334,101932,Elementary,Pangasinan,39.0,32.5,666.6666666666666,26000.0,21666.666666666668
335,101325,Elementary,Pangasinan,38.300000000000004,31.91666666666667,543.0809399477807,20800.0,17333.333333333332
336,101505,Elementary,Pangasinan,39.083333333333336,36.07692307692307,539.4456289978679,21083.333333333336,19461.53846153846
337,101254,Elementary,Pangasinan,32.77777777777778,43.38235294117647,471.864406779661,15466.666666666666,20470.588235294115
338,100619,Elementary,Ilocos Sur,20.099999999999998,16.75,965.1741293532339,19400.0,16166.666666666666
339,101674,Elementary,Pangasinan,50.2,41.833333333333336,589.6414342629482,29600.0,24666.666666666668
340,101675,Elementary,Pangasinan,36.6,30.5,770.4918032786885,28200.0,23500.0
341,100332,Elementary,Ilocos Sur,16.833333333333336,16.833333333333336,1079.2079207920792,18166.666666666664,18166.666666666664
342,101832,Elementary,Pangasinan,38.2,27.28571428571429,753.9267015706806,28800.0,20571.428571428572
343,100746,Elementary,Ilocos Sur,16.333333333333332,24.500000000000004,1102.0408163265306,18000.0,27000.0
344,101206,Elementary,Pangasinan,52.666666666666664,45.142857142857146,515.8227848101266,27166.666666666668,23285.714285714286
346,100977,Elementary,La Union,26.57142857142857,31.0,747.3118279569892,19857.14285714286,23166.666666666664
347,100911,Elementary,La Union,46.24242424242424,44.88235294117647,463.302752293578,21424.242424242424,20794.117647058825
348,101676,Elementary,Pangasinan,40.54545454545455,37.166666666666664,549.3273542600897,22272.727272727272,20416.666666666664
349,101749,Elementary,Pangasinan,40.125,42.800000000000004,491.43302180685356,19718.75,21033.333333333332
350,100912,Elementary,La Union,43.83333333333333,40.46153846153846,490.4942965779468,21500.0,19846.153846153844
351,100349,Elementary,Ilocos Sur,19.333333333333332,29.0,1258.6206896551723,24333.333333333332,36500.0
352,101077,Elementary,La Union,27.8,23.166666666666664,820.1438848920864,22800.0,19000.0
353,101049,Elementary,La Union,32.0,19.2,937.5,30000.0,18000.0
354,101267,Elementary,Pangasinan,37.47169811320755,52.26315789473684,478.8519637462236,17943.396226415094,25026.315789473687
355,101461,Elementary,Pangasinan,60.666666666666664,52.0,530.2197802197802,32166.666666666664,27571.428571428572
356,101677,Elementary,Pangasinan,54.42857142857143,54.42857142857143,506.56167979002623,27571.428571428572,27571.428571428572
357,100811,Elementary,La Union,48.57142857142857,48.57142857142857,482.3529411764706,23428.57142857143,23428.57142857143
358,101151,Elementary,Pangasinan,42.18181818181819,46.4,495.6896551724138,20909.090909090908,23000.0
359,101309,Elementary,Pangasinan,38.875,38.875,482.3151125401929,18750.0,18750.0
360,101657,Elementary,Pangasinan,35.333333333333336,26.5,839.622641509434,29666.666666666668,22250.0
361,100559,Elementary,Ilocos Sur,15.5,15.5,1967.741935483871,30499.999999999996,30499.999999999996
363,100102,Elementary,Ilocos Norte,29.249999999999996,29.249999999999996,846.1538461538462,24750.0,24750.0
364,100613,Elementary,Ilocos Sur,16.333333333333332,24.500000000000004,1006.8027210884354,16444.444444444445,24666.666666666668
366,100765,Elementary,Ilocos Sur,25.272727272727273,25.272727272727273,730.2158273381295,18454.545454545456,18454.545454545456
368,101578,Elementary,Pangasinan,60.0,45.0,505.55555555555554,30333.333333333336,22750.0
369,101268,Elementary,Pangasinan,37.81818181818182,34.666666666666664,521.6346153846154,19727.272727272728,18083.333333333332
370,100088,Elementary,Ilocos Norte,43.2,36.0,638.8888888888889,27600.0,23000.0
371,100350,Elementary,Ilocos Sur,27.0,27.0,1024.6913580246915,27666.666666666668,27666.666666666668
372,101944,Elementary,Pangasinan,36.45454545454545,33.416666666666664,568.5785536159601,20727.272727272728,19000.0
373,101571,Elementary,Pangasinan,40.16666666666667,34.42857142857143,614.1078838174274,24666.666666666668,21142.85714285714
374,100657,Elementary,Ilocos Sur,23.0,25.3,731.2252964426877,16818.18181818182,18500.0
375,101697,Elementary,Pangasinan,44.08333333333333,40.69230769230769,497.16446124763706,21916.666666666664,20230.76923076923
376,100668,Elementary,Ilocos Sur,36.0,36.0,666.6666666666666,24000.0,24000.0
377,100388,Elementary,Ilocos Sur,12.5,12.5,1453.3333333333333,18166.666666666664,18166.666666666664
378,100703,Elementary,Ilocos Sur,33.11111111111111,24.833333333333336,654.3624161073825,21666.666666666668,16250.0
379,101557,Elementary,Pangasinan,22.642857142857142,63.400000000000006,725.5520504731861,16428.571428571428,46000.0
380,101269,Elementary,Pangasinan,35.285714285714285,35.285714285714285,696.3562753036438,24571.428571428572,24571.428571428572
381,100236,Elementary,Ilocos Norte,8.5,11.333333333333332,2235.294117647059,19000.0,25333.333333333332
382,100560,Elementary,Ilocos Sur,20.166666666666668,20.166666666666668,1074.3801652892562,21666.666666666668,21666.666666666668
383,100141,Elementary,Ilocos Norte,26.833333333333332,26.833333333333332,788.8198757763976,21166.666666666664,21166.666666666664
384,101310,Elementary,Pangasinan,42.833333333333336,36.714285714285715,583.6575875486382,24999.999999999996,21428.57142857143
385,100913,Elementary,La Union,33.0,22.0,878.7878787878788,29000.0,19333.333333333332
386,101904,Elementary,Pangasinan,24.714285714285715,28.833333333333336,751.4450867052024,18571.428571428572,21666.666666666668
387,100092,Elementary,Ilocos Norte,33.2,27.666666666666668,795.1807228915662,26400.0,22000.0
388,102132,Elementary,Pangasinan,32.666666666666664,32.666666666666664,1000.0,32666.666666666668,32666.666666666668
389,100933,Elementary,La Union,32.5,26.0,630.7692307692307,20500.0,16400.0
390,100766,Elementary,Ilocos Sur,18.5,26.428571428571427,794.5945945945946,14700.0,21000.0
391,100110,Elementary,Ilocos Norte,33.0,22.0,1227.2727272727273,40500.0,27000.0
392,100979,Elementary,La Union,54.0,36.0,787.0370370370371,42500.0,28333.333333333336
393,101341,Elementary,Pangasinan,39.125,52.16666666666667,506.3897763578275,19812.5,26416.666666666668
394,100641,Elementary,Ilocos Sur,44.0,37.714285714285715,590.9090909090909,26000.0,22285.714285714283
396,100719,Elementary,Ilocos Sur,13.833333333333334,27.666666666666668,1265.0602409638554,17500.0,35000.0
397,101756,Elementary,Pangasinan,48.71875,59.96153846153847,443.23284156510584,21593.75,26576.923076923078
398,100261,Elementary,Ilocos Norte,29.714285714285715,23.11111111111111,774.0384615384615,23000.0,17888.88888888889
399,101922,Elementary,Pangasinan,30.846153846153847,36.45454545454545,561.0972568578553,17307.69230769231,20454.545454545456
400,100253,Elementary,Ilocos Norte,37.72222222222222,37.72222222222222,506.6273932253314,19111.111111111113,19111.111111111113
401,100093,Elementary,Ilocos Norte,15.666666666666668,15.666666666666668,1638.2978723404256,25666.666666666668,25666.666666666668
402,101311,Elementary,Pangasinan,39.5,39.5,491.8625678119349,19428.571428571428,19428.571428571428
403,101312,Elementary,Pangasinan,51.14285714285714,51.14285714285714,451.1173184357542,23071.428571428572,23071.428571428572
404,102020,Elementary,Pangasinan,41.77777777777778,53.714285714285715,563.8297872340426,23555.555555555555,30285.714285714286
405,100194,Elementary,Ilocos Norte,33.0,33.0,888.8888888888889,29333.333333333332,29333.333333333332
406,100767,Elementary,Ilocos Sur,34.666666666666664,34.666666666666664,653.8461538461538,22666.666666666664,22666.666666666664
407,101794,Elementary,Pangasinan,41.88888888888889,37.699999999999996,543.7665782493368,22777.77777777778,20500.0
408,152001,Elementary,Pangasinan,20.75,20.75,1072.289156626506,22250.0,22250.0
409,101173,Elementary,Pangasinan,39.0,39.0,602.5641025641025,23500.0,23500.0
410,100466,Elementary,Ilocos Sur,36.75,49.00000000000001,761.9047619047619,27999.999999999996,37333.333333333336
411,100821,Elementary,La Union,30.0,30.0,726.6666666666666,21800.0,21800.0
412,100768,Elementary,Ilocos Sur,45.75,30.5,677.5956284153006,31000.0,20666.666666666668
413,100843,Elementary,La Union,37.583333333333336,34.69230769230769,545.4545454545455,20500.0,18923.076923076926
415,100561,Elementary,Ilocos Sur,15.428571428571429,18.0,1148.148148148148,17714.285714285714,20666.666666666668
417,102162,Elementary,Pangasinan,30.900000000000002,51.50000000000001,585.7605177993528,18100.0,30166.666666666664
419,100104,Elementary,Ilocos Norte,22.333333333333336,22.333333333333336,776.1194029850747,17333.333333333332,17333.333333333332
420,101948,Elementary,Pangasinan,37.357142857142854,37.357142857142854,541.1089866156788,20214.285714285714,20214.285714285714
421,101864,Elementary,Pangasinan,33.89473684210526,35.77777777777778,551.2422360248447,18684.21052631579,19722.222222222223
422,101722,Elementary,Pangasinan,34.333333333333336,34.333333333333336,650.4854368932039,22333.333333333332,22333.333333333332
423,101442,Elementary,Pangasinan,27.2,27.2,830.8823529411765,22600.0,22600.0
424,101152,Elementary,Pangasinan,41.583333333333336,45.36363636363636,507.01402805611224,21083.333333333336,23000.0
425,101153,Elementary,Pangasinan,35.75,39.0,538.4615384615385,19250.0,21000.0
426,101154,Elementary,Pangasinan,24.57142857142857,24.57142857142857,843.0232558139535,20714.285714285714,20714.285714285714
427,102241,Elementary,Pangasinan,49.00000000000001,40.833333333333336,497.9591836734694,24400.0,20333.333333333336
429,101537,Elementary,Pangasinan,31.769230769230766,34.416666666666664,571.4285714285714,18153.846153846156,19666.666666666668
431,100562,Elementary,Ilocos Sur,11.714285714285714,11.714285714285714,1475.6097560975609,17285.714285714286,17285.714285714286
432,101174,Elementary,Pangasinan,42.0,52.49999999999999,609.5238095238095,25600.0,32000.0
433,101386,Elementary,Pangasinan,41.22222222222222,37.1,530.9973045822103,21888.888888888887,19700.0
434,101658,Elementary,Pangasinan,46.666666666666664,35.0,707.1428571428571,33000.0,24750.0
435,102270,Elementary,Pangasinan,30.14285714285714,42.2,620.8530805687204,18714.285714285714,26200.0
436,101538,Elementary,Pangasinan,46.22222222222222,37.81818181818182,533.6538461538462,24666.666666666668,20181.818181818184
437,101906,Elementary,Pangasinan,45.0,45.0,501.2345679012346,22555.55555555556,22555.55555555556
438,101342,Elementary,Pangasinan,48.5625,64.75,421.4929214929215,20468.75,27291.666666666668
439,102215,Elementary,Pangasinan,42.28,44.041666666666664,446.5468306527909,18880.0,19666.666666666668
440,102001,Elementary,Pangasinan,39.833333333333336,39.833333333333336,623.4309623430962,24833.333333333332,24833.333333333332
441,101472,Elementary,Pangasinan,21.333333333333332,21.333333333333332,937.5,20000.0,20000.0
442,102163,Elementary,Pangasinan,40.36363636363636,42.285714285714285,493.2432432432432,19909.090909090908,20857.14285714286
