School ID,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female,SPED NG Male,SPED NG Female
312004,20,20,39,17,38,11,23,22,0,0,0,0,0,0
312005,11,8,16,7,17,7,14,10,0,0,0,0,0,0
312006,30,21,20,24,23,16,15,20,0,0,0,0,0,0
312007,14,6,9,7,9,2,5,7,0,0,0,0,0,0
312008,14,12,20,12,9,8,11,9,0,0,0,0,0,0
312101,79,95,76,71,39,47,50,71,0,0,0,0,0,0
312102,13,25,19,19,14,23,10,21,0,0,0,0,0,0
312103,19,28,25,30,24,15,22,18,0,0,0,0,0,0
312201,16,19,30,14,20,17,12,15,0,0,0,0,0,0
312202,51,42,54,44,51,33,46,37,0,0,0,0,0,0
312203,29,24,31,15,28,22,23,19,0,0,0,0,0,0
325601,21,26,29,21,22,22,18,19,0,0,0,0,0,0
325602,32,46,30,20,19,27,22,15,0,0,0,0,0,0
325603,29,36,30,32,25,21,22,28,0,0,0,0,0,0
325604,23,16,20,19,22,9,16,10,0,0,0,0,0,0
325605,20,23,16,18,22,21,7,20,0,0,0,0,0,0
302808,68,46,52,52,52,48,46,45,0,0,0,0,0,0
302809,178,163,148,140,114,119,73,103,0,0,0,0,0,0
302810,26,31,25,34,27,43,28,32,0,0,0,0,0,0
302811,70,66,72,66,59,58,60,68,0,0,0,0,0,0
302812,42,22,36,33,32,35,41,24,0,0,0,0,0,0
302813,26,23,23,26,19,28,17,31,0,0,0,0,0,0
302814,92,90,64,62,71,69,81,62,0,0,0,0,0,0
302815,79,109,99,76,86,95,51,56,0,0,0,0,0,0
302816,105,115,100,122,68,111,86,75,0,0,0,0,0,0
302817,84,72,122,82,74,73,76,62,0,0,0,0,0,0
302818,123,115,124,109,79,112,85,91,0,0,0,0,0,0
302819,48,36,36,29,33,40,37,22,0,0,0,0,0,0
302820,58,47,52,44,37,47,31,41,0,0,0,0,0,0
302821,32,37,47,41,54,40,29,40,0,0,0,0,0,0
302822,120,117,160,105,131,113,102,142,0,0,0,0,0,0
302823,30,23,27,22,20,18,26,17,0,0,0,0,0,0
302824,58,58,53,51,32,34,33,59,0,0,0,0,0,0
302825,139,141,132,129,100,110,95,100,0,0,0,0,0,0
302826,71,85,86,83,54,103,81,73,0,0,0,0,0,0
302827,80,64,74,78,56,29,58,56,0,0,0,0,0,0
302828,47,50,51,53,44,47,28,43,0,0,0,0,0,0
302829,78,62,81,57,61,68,53,56,0,0,0,0,0,0
302830,224,198,168,204,135,172,167,139,0,0,0,0,0,0
302831,43,45,41,31,31,36,29,31,0,0,0,0,0,0
302832,51,61,69,51,42,39,51,49,0,0,0,0,0,0
302833,81,87,73,70,57,62,73,54,0,0,0,0,0,0
302834,77,68,61,55,53,53,63,58,0,0,0,0,0,0
302835,66,47,50,34,41,43,50,41,0,0,0,0,0,0
302836,97,108,96,88,60,74,43,66,0,0,0,0,0,0
302837,63,36,38,36,28,47,34,31,0,0,0,0,0,0
302838,67,68,80,80,47,63,49,56,0,0,0,0,0,0
302839,103,92,113,100,94,83,82,74,0,0,0,0,0,0
302840,136,111,87,112,100,113,91,95,0,0,0,0,0,0
302841,138,110,111,102,99,114,85,106,0,0,0,0,0,0
302842,48,60,49,68,48,50,41,51,0,0,0,0,0,0
302843,42,39,35,45,25,37,29,24,0,0,0,0,0,0
302844,38,33,48,49,43,39,23,39,0,0,0,0,0,0
302845,96,71,81,72,73,76,63,63,0,0,0,0,0,0
302846,602,596,529,607,414,622,354,500,0,0,0,0,0,0
302847,42,31,36,30,25,32,26,15,0,0,0,0,0,0
302848,78,63,65,65,64,69,66,67,0,0,0,0,0,0
302849,49,28,45,37,43,49,51,51,0,0,0,0,0,0
302850,33,25,28,30,31,32,23,24,0,0,0,0,0,0
302851,34,22,35,30,22,27,32,15,0,0,0,0,0,0
302852,73,71,72,55,71,56,47,64,0,0,0,0,0,0
302853,42,44,35,44,39,33,31,24,0,0,0,0,0,0
302854,120,119,106,114,116,108,91,99,0,0,0,0,0,0
302855,94,66,67,75,51,75,58,65,0,0,0,0,0,0
302856,51,50,51,40,50,45,48,42,0,0,0,0,0,0
302857,54,54,62,44,64,70,46,64,0,0,0,0,0,0
302858,84,74,84,77,69,83,78,61,0,0,0,0,0,0
302859,138,106,108,105,78,88,75,93,0,0,0,0,0,0
302860,125,125,109,135,107,98,102,102,0,0,0,0,0,0
302861,70,65,60,59,55,56,48,44,0,0,0,0,0,0
302862,33,36,33,30,22,24,16,25,0,0,0,0,0,0
302863,71,74,88,65,48,60,74,64,0,0,0,0,0,0
302864,69,59,63,57,53,47,36,48,0,0,0,0,0,0
302865,100,64,94,96,66,76,57,66,0,0,0,0,0,0
302866,57,40,53,48,26,49,35,35,0,0,0,0,0,0
302867,59,42,51,37,48,43,20,41,0,0,0,0,0,0
302868,118,113,116,106,86,110,69,74,0,0,0,0,0,0
302869,54,43,47,49,40,47,41,50,0,0,0,0,0,0
302870,52,52,66,62,53,53,52,54,0,0,0,0,0,0
302871,43,31,44,31,38,26,30,26,0,0,0,0,0,0
302872,237,213,194,218,162,196,138,169,0,0,0,0,0,0
302873,125,105,98,95,76,106,79,93,0,0,0,0,0,0
302874,132,127,97,109,91,117,92,126,0,0,0,0,0,0
302875,76,73,78,69,68,62,72,79,14,19,0,0,0,0
302876,36,70,32,68,36,66,34,64,0,0,0,0,0,0
302877,36,31,33,34,36,34,32,22,0,0,0,0,0,0
302878,95,57,85,68,67,72,72,51,0,0,0,0,0,0
302879,81,66,73,76,63,78,55,59,0,0,0,0,0,0
302880,31,19,19,21,23,20,17,22,0,0,0,0,0,0
302881,69,58,76,61,41,55,31,49,0,0,0,0,0,0
302882,54,46,42,50,42,34,55,48,0,0,0,0,0,0
302883,148,132,126,150,132,107,93,132,0,0,0,0,0,0
302884,213,222,189,216,148,199,137,160,0,0,0,0,0,0
302885,61,47,51,65,44,55,44,48,0,0,0,0,0,0
302886,122,128,141,116,102,117,92,97,0,0,0,0,0,0
302887,119,132,116,127,113,117,88,108,0,0,0,0,0,0
302888,38,42,39,40,53,42,15,37,0,0,0,0,0,0
302889,84,75,70,76,53,68,41,64,0,0,0,0,0,0
302890,52,47,61,57,70,59,52,40,0,0,0,0,0,0
302891,68,58,55,60,60,53,47,59,0,0,0,0,0,0
302892,153,124,166,184,119,115,107,131,0,0,0,0,0,0
302893,226,254,199,238,194,229,171,223,0,0,0,0,0,0
302894,50,72,39,52,29,30,28,43,0,0,0,0,0,0
302895,116,94,106,110,87,92,110,87,0,0,0,0,0,0
302896,38,37,32,30,27,27,13,24,0,0,0,0,0,0
302897,163,121,135,147,119,149,100,97,0,0,0,0,0,0
302898,59,45,63,64,37,53,35,51,0,0,0,0,0,0
302899,95,61,85,93,62,64,42,42,0,0,0,0,0,0
302900,126,100,126,118,103,131,88,105,0,0,0,0,0,0
302901,183,156,159,132,99,114,92,111,0,0,0,0,0,0
302902,78,73,69,72,81,76,67,64,0,0,0,0,0,0
302903,67,44,60,31,44,47,54,49,0,0,0,0,0,0
302904,23,28,36,31,21,27,28,14,0,0,0,0,0,0
302905,143,147,135,144,116,117,93,108,0,0,0,0,0,0
302906,69,61,75,71,62,56,47,56,0,0,0,0,0,0
302907,65,42,63,63,56,63,60,48,0,0,0,0,0,0
302908,143,118,144,118,110,136,90,104,0,0,0,0,0,0
302909,55,60,47,52,40,60,63,45,0,0,0,0,0,0
302910,82,89,76,87,76,67,60,65,0,0,0,0,0,0
302911,38,56,59,45,43,38,57,37,0,0,0,0,0,0
302912,57,37,34,33,21,39,38,39,0,0,0,0,0,0
302913,116,82,91,115,69,89,73,80,0,0,0,0,0,0
302914,117,111,114,108,82,91,55,72,0,0,0,0,0,0
302915,54,94,39,78,59,65,32,55,0,0,0,0,0,0
302916,277,263,202,242,179,217,149,169,0,0,0,0,0,0
302917,111,122,85,98,94,109,68,103,0,0,0,0,0,0
302918,64,51,46,41,37,38,25,25,0,0,0,0,0,0
302919,182,199,137,149,154,152,95,121,0,0,0,0,0,0
302920,68,60,70,54,70,65,61,60,0,0,0,0,0,0
302921,405,348,335,341,279,275,244,279,0,0,0,0,0,0
302922,99,103,103,96,70,91,63,64,0,0,0,0,0,0
302923,41,36,42,30,28,33,29,36,0,0,0,0,0,0
302924,54,49,59,46,40,53,43,36,0,0,0,0,0,0
302925,75,79,71,75,55,68,63,59,0,0,0,0,0,0
302926,32,31,23,28,20,25,31,31,0,0,0,0,0,0
302927,130,130,127,94,94,100,76,91,0,0,0,0,0,0
302928,77,48,63,78,67,53,68,70,0,0,0,0,0,0
302929,55,39,58,48,40,43,32,41,0,0,0,0,0,0
302930,31,33,27,34,24,26,35,23,0,0,0,0,0,0
302931,40,40,32,34,30,27,22,39,0,0,0,0,0,0
302932,41,32,47,35,54,31,40,33,0,0,0,0,0,0
302933,30,34,35,26,25,29,38,41,0,0,0,0,0,0
302934,75,81,79,77,86,73,81,76,0,0,0,0,0,0
302935,56,46,40,45,43,38,39,38,0,0,0,0,0,0
302936,50,39,54,48,41,43,48,32,0,0,0,0,0,0
302937,23,28,30,30,12,25,19,22,0,0,0,0,0,0
302938,471,398,353,361,323,377,309,290,0,0,0,0,0,0
302939,70,62,57,44,37,53,45,44,0,0,0,0,0,0
302940,211,192,169,185,118,132,93,123,0,0,0,0,0,0
302941,184,147,126,126,97,126,128,109,0,0,0,0,0,0
302942,103,83,100,84,103,76,73,66,0,0,0,0,0,0
